transaction_id user_id card_number amount description transaction_type vendor
47 38 661771205157 112.25 description Other CVS
48 74 789947903581 46.62 description Rent ClickPay
49 12 101172007123 6.49 description Transportation MTA
50 21 644905324297 85.18 description Other Walgreens
51 93 415541114738 36.91 description Dining Seamless
52 37 808091250655 60.93 description Other CVS
53 98 315050130978 66.49 description Dining DoorDash
54 82 983251107131 197.86 description Dining DoorDash
55 11 114455001431 110.03 description Rent PayLease
56 39 771999859401 54.38 description Leisure Nike
57 50 571964937480 138.78 description Dining Seamless
58 85 359784300552 150.24 description Dining Seamless
59 79 110800286602 113.44 description Rent RadPad
60 76 290554919999 75.33 description Transportation MTA
61 36 833964326767 5.09 description Transportation Lyft
62 27 767757968212 74.83 description Dining GrubHub
63 73 913294953949 158.01 description Rent ClickPay
64 37 001884635670 92.96 description Rent ClickPay
65 17 611194844401 68.03 description Dining DoorDash
66 36 619400621284 119.82 description Transportation Lyft
67 3 635616905735 40.32 description Leisure Ebay
68 3 573125449425 67.19 description Other TraderJoes
69 55 189890527702 22.13 description Rent ClickPay
70 47 368037593646 61.41 description Leisure BestBuy
71 80 140550359499 112.18 description Leisure Amazon
72 60 087371396581 187.83 description Leisure BestBuy
73 45 175137949170 15.13 description Transportation Lyft
74 32 355880491625 66.62 description Dining GrubHub
75 76 404577906447 192.42 description Dining UberEats
76 29 690003680042 14.11 description Rent ClickPay
77 89 604897742834 40.79 description Other Walgreens
78 29 965044142133 71.2 description Other CVS
79 86 151458136524 109.17 description Leisure BestBuy
80 92 467058996106 22.64 description Other Walgreens
81 90 721407053959 101.85 description Transportation NYCTLC
82 99 834829761935 2.47 description Transportation MTA
83 96 953351966515 24.33 description Rent RadPad
84 53 046543957603 79.46 description Other HomeDepot
85 21 560409560012 166.88 description Transportation Uber
86 4 290279913250 110.44 description Transportation Lyft
87 7 714056463941 61.89 description Dining Seamless
88 51 799566197879 185.89 description Other Costco
89 4 820407161147 118.55 description Dining Seamless
90 37 957207517992 40.38 description Other WholeFoods
91 10 154276744831 112.56 description Transportation Lyft
92 49 677765484812 135.46 description Leisure Rakuten
93 59 127068832584 57.89 description Rent RadPad
94 82 003471008509 163.06 description Leisure Apple
95 40 215741049249 79.87 description Rent PayLease
96 65 148543104334 129.46 description Rent ClickPay
97 16 107639732973 76.36 description Dining UberEats
98 97 420527601256 18.54 description Leisure Alibaba
99 28 451492937428 10.21 description Rent RadPad
100 86 608708080051 139.71 description Dining DoorDash
101 85 971525745204 86.65 description Dining Seamless
102 8 172513817917 99.06 description Transportation NYCTLC
103 45 875238652248 188.67 description Rent PayLease
104 62 781264637979 175.75 description Rent Cozy
105 12 662800730748 88.43 description Transportation NYCTLC
106 47 492476256230 104.94 description Dining UberEats
107 23 442732484053 175.75 description Dining DoorDash
108 76 019113982612 24.14 description Dining GrubHub
109 96 985053415575 2.43 description Rent ClickPay
110 21 426597828329 28.73 description Leisure Ebay
111 72 785941939130 31.76 description Leisure Ebay
112 65 606182982909 52.7 description Dining GrubHub
113 34 737072187345 23.16 description Transportation Uber
114 78 056251028083 76.64 description Transportation Uber
115 87 485363517508 30.49 description Leisure Apple
116 70 358259979235 82.69 description Rent Cozy
117 39 842726146999 123.08 description Transportation NYCTLC
118 83 249691242558 177.79 description Transportation MTA
119 8 693341624559 195.06 description Dining DoorDash
120 12 112012517501 32.44 description Transportation MTA
121 98 035620995391 39.45 description Dining Seamless
122 62 206652055760 191.14 description Transportation Uber
123 11 528648713394 164.81 description Other CVS
124 44 780880571332 193.89 description Leisure Rakuten
125 43 294531772981 21.12 description Leisure Walmart
126 32 308357935020 89.6 description Transportation Uber
127 71 397147474579 22.11 description Rent RadPad
128 85 975311486486 143.38 description Transportation Uber
129 43 752121764276 118.57 description Other CVS
130 61 558519606081 98.54 description Other TraderJoes
131 59 916536545812 139.14 description Transportation NYCTLC
132 24 325933582499 125.6 description Leisure Apple
133 10 541043504923 100.05 description Dining UberEats
134 19 489308037676 56.1 description Transportation Lyft
135 79 490306553266 129.53 description Rent PayLease
136 82 587844752633 87.48 description Transportation Lyft
137 71 792364661451 62.8 description Other Walgreens
138 64 030713767208 9.59 description Other WholeFoods
139 44 153405001962 38.97 description Dining Seamless
140 13 520085253023 193.17 description Transportation Uber
141 44 715721494294 22.9 description Leisure Target
142 56 434040542155 5.06 description Rent RadPad
143 4 091509605106 35.59 description Transportation NYCTLC
144 31 740678981841 56.53 description Other TraderJoes
145 33 512130952661 78.73 description Other CVS
146 29 991356815875 6.27 description Transportation Uber
147 3 888123037967 34.34 description Dining GrubHub
148 42 482722333034 75.13 description Rent ClickPay
149 71 552112148785 176.63 description Rent PayLease
150 46 668057490966 49.23 description Rent PayLease
151 49 528494311751 118.19 description Other Costco
152 73 745252589741 111.86 description Transportation NYCTLC
153 79 718175681150 70.8 description Other WholeFoods
154 23 364781127535 115.94 description Leisure Microsoft
155 68 319913940374 142.53 description Leisure BestBuy
156 19 487997972789 113.62 description Leisure BestBuy
157 24 330267250436 123.44 description Other Costco
158 53 753754615113 182.88 description Other CVS
159 56 520541542322 194.83 description Transportation Lyft
160 26 564638602749 67.17 description Dining DoorDash
161 72 619645437460 147.8 description Rent ClickPay
162 4 990325034192 7.31 description Leisure Walmart
163 17 426048521264 22.33 description Other TraderJoes
164 97 997352570536 33.23 description Transportation Uber
165 95 626100778891 118.41 description Dining DoorDash
166 62 584542010416 14.42 description Leisure Apple
167 51 502372796082 101.14 description Rent ClickPay
168 71 893392308783 140.55 description Rent PayLease
169 62 058420095286 138.61 description Other TraderJoes
170 96 103923695766 52.87 description Other Walgreens
171 9 304090606103 117.44 description Dining DoorDash
172 37 292916869433 43.99 description Transportation NYCTLC
173 55 396849015168 105.85 description Other HomeDepot
174 12 251440108106 150.01 description Other Walgreens
175 58 836989264065 38.62 description Rent PayLease
176 28 160584198424 19.75 description Dining GrubHub
177 5 396652721659 67.86 description Other Costco
178 45 926499553552 183.62 description Other HomeDepot
179 45 269818432332 93.48 description Leisure Nike
180 60 770973409515 112.13 description Leisure Target
181 99 060216197402 70.38 description Leisure Target
182 28 128718230431 18.39 description Transportation Uber
183 4 521095856235 149.19 description Rent Cozy
184 89 320494458287 78.09 description Rent Cozy
185 74 392913648660 62.92 description Dining Seamless
186 90 059612431435 37.6 description Rent ClickPay
187 27 382694750849 119.02 description Leisure Apple
188 75 210679123260 152.67 description Leisure Apple
189 88 535173042865 66.05 description Rent RadPad
190 85 342784209481 28.78 description Dining DoorDash
191 48 963188474991 29.45 description Leisure Walmart
192 94 823122228864 136.06 description Leisure Ebay
193 83 389666911211 98.22 description Dining Seamless
194 60 460368201460 69.14 description Other WholeFoods
195 4 441035836070 136.58 description Transportation Uber
196 79 987353710053 104.28 description Other TraderJoes
197 87 935548566105 55.02 description Rent PayLease
198 4 261808099682 163.36 description Transportation Uber
199 16 940855183785 175.89 description Transportation Uber
200 3 880198887854 72.67 description Leisure Apple
201 93 947473001428 135.1 description Transportation Uber
202 49 814214298052 33.58 description Transportation Uber
203 63 071402109761 174.56 description Other TraderJoes
204 22 509460077184 15.23 description Other TraderJoes
205 84 968185280027 141.03 description Other CVS
206 52 740985601937 194.09 description Other TraderJoes
207 76 454236860781 81.83 description Leisure Ebay
208 65 441065123246 101.15 description Leisure Walmart
209 48 075739071482 91.9 description Other Costco
210 80 744386800043 172.15 description Other TraderJoes
211 10 845477419120 59.66 description Leisure Microsoft
212 33 739374699392 125.92 description Other Costco
213 3 110127516794 25.88 description Rent Cozy
214 17 019502793868 47.77 description Transportation Lyft
215 4 560301545736 62.46 description Leisure BestBuy
216 29 881156572235 104.34 description Dining GrubHub
217 45 456915302342 105.09 description Other WholeFoods
218 57 739751166817 19.77 description Transportation MTA
219 70 835068519761 34.27 description Leisure BestBuy
220 52 575456208808 51.8 description Other CVS
221 84 216398054298 26.64 description Rent Cozy
222 24 261404599581 116.66 description Rent RadPad
223 62 517143458258 120.6 description Rent RadPad
224 43 328035061586 19.6 description Rent PayLease
225 14 143914127432 121.88 description Dining DoorDash
226 70 654698065030 27.17 description Other CVS
227 41 893264393796 110.86 description Leisure Alibaba
228 84 199231813678 169.21 description Transportation Lyft
229 54 617673560674 22.92 description Dining Seamless
230 14 967442004916 183.7 description Other HomeDepot
231 44 147373608262 129.07 description Rent ClickPay
232 38 499801811689 130.55 description Rent PayLease
233 38 810896441823 123.82 description Leisure Amazon
234 0 103149794017 95.36 description Transportation Lyft
235 83 445948522569 166.81 description Transportation NYCTLC
236 15 188433057928 113.42 description Dining DoorDash
237 80 686105909791 118.89 description Dining UberEats
238 34 434560308057 175.49 description Other CVS
239 25 953143921057 136.59 description Transportation Lyft
240 49 928710911678 95.21 description Transportation Lyft
241 39 659979789539 153.86 description Leisure Target
242 39 533382885997 49.91 description Transportation MTA
243 60 098078431826 144.49 description Other CVS
244 35 824076599201 198.56 description Leisure Amazon
245 1 480467533536 86.36 description Other TraderJoes
246 89 473734557402 100.07 description Transportation Uber
247 66 221591077639 133.73 description Leisure Ebay
248 22 137769682191 132.23 description Transportation NYCTLC
249 33 121388521602 142.24 description Other HomeDepot
250 66 964051900699 152.73 description Transportation Lyft
251 97 270608518236 134.99 description Other WholeFoods
252 1 249264124156 107.15 description Other Walgreens
253 88 090884982574 100.74 description Leisure Rakuten
254 67 628834283843 197.23 description Other TraderJoes
255 95 991736179030 140.12 description Other HomeDepot
256 47 350349239151 8.47 description Leisure Nike
257 67 273752696487 44.63 description Transportation Lyft
258 90 233481674249 35.65 description Leisure Rakuten
259 23 183684124941 77.3 description Other HomeDepot
260 78 130378156928 53.89 description Transportation Uber
261 57 107453342434 43.39 description Dining DoorDash
262 11 749290722640 107.18 description Rent RadPad
263 80 232913872077 82.75 description Dining Seamless
264 62 386432153219 35.23 description Rent RadPad
265 35 917456377705 45.34 description Rent Cozy
266 92 469779914418 24.75 description Transportation MTA
267 40 500704937804 29.78 description Transportation Uber
268 12 660790891043 199.61 description Dining DoorDash
269 29 070550214518 9.45 description Leisure Amazon
270 79 048146497053 150.6 description Rent PayLease
271 34 439236005858 95.29 description Transportation Lyft
272 82 210878782553 170.92 description Dining Seamless
273 46 524329294092 155.65 description Rent RadPad
274 85 525529240304 143.08 description Leisure Target
275 2 479906161244 190.71 description Leisure Target
276 51 898550307435 130.51 description Rent ClickPay
277 7 662129940775 136.22 description Transportation MTA
278 94 208757349551 117.03 description Dining Seamless
279 13 764445779919 43.72 description Dining Seamless
280 35 884836342438 8.16 description Dining UberEats
281 77 461064249535 69.47 description Rent Cozy
282 99 433390987529 144.91 description Transportation NYCTLC
283 16 878333115648 15.7 description Leisure Alibaba
284 49 150301173418 23.11 description Transportation Lyft
285 52 395683191950 29.2 description Rent Cozy
286 53 567260101261 75.86 description Transportation Lyft
287 42 841057685853 110.33 description Other HomeDepot
288 75 638533092100 42.97 description Leisure BestBuy
289 16 555156639807 16.71 description Rent PayLease
290 75 574830975374 49.13 description Dining Seamless
291 99 344859114542 69.59 description Dining DoorDash
292 62 386864459817 113.77 description Leisure Ebay
293 5 040434870785 132.19 description Dining UberEats
294 79 440654547544 111.06 description Dining GrubHub
295 58 571859081959 60.84 description Transportation MTA
296 95 609264064654 73.75 description Rent Cozy
297 11 573191060288 111.11 description Transportation Uber
298 51 750221013425 64.07 description Transportation Lyft
299 38 355141160270 177.12 description Leisure Rakuten
300 63 587535563426 104.97 description Leisure Walmart
301 66 986763051841 56.1 description Rent ClickPay
302 31 543251624960 131.25 description Dining DoorDash
303 62 398471944468 4.95 description Rent ClickPay
304 99 275386462796 10.57 description Rent ClickPay
305 46 770283685896 9.61 description Leisure Ebay
306 64 663369283649 189.79 description Leisure Alibaba
307 71 846820239691 49.33 description Dining Seamless
308 71 686571677925 156.21 description Rent Cozy
309 93 085732835120 164.78 description Transportation Lyft
310 42 405896011772 41.13 description Other TraderJoes
311 99 024526293358 21.17 description Dining Seamless
312 61 005238977556 33.57 description Rent RadPad
313 30 530656207655 57.27 description Rent RadPad
314 87 073381741355 129.98 description Leisure Alibaba
315 83 537094881835 80.43 description Transportation NYCTLC
316 75 927328097464 140.26 description Dining GrubHub
317 93 985410984818 116.77 description Other WholeFoods
318 56 093844065035 109.65 description Rent ClickPay
319 41 886628999362 77.13 description Dining DoorDash
320 16 484658503183 154.78 description Rent RadPad
321 23 204016552694 18.4 description Rent RadPad
322 39 370394878106 146.44 description Rent Cozy
323 88 463711356377 129.86 description Other TraderJoes
324 4 899845597275 159.2 description Rent Cozy
325 4 098888358896 10.44 description Other WholeFoods
326 47 549459757398 170.11 description Rent PayLease
327 91 372478973466 2.08 description Leisure Microsoft
328 93 110695441087 109.06 description Leisure Ebay
329 51 308934242896 32.88 description Leisure Apple
330 42 302461333890 161.94 description Rent ClickPay
331 84 859735075915 50.73 description Transportation MTA
332 91 811722587459 88.05 description Rent Cozy
333 81 130780469225 129.98 description Transportation Lyft
334 52 013395168940 169.75 description Transportation MTA
335 79 969207152990 183.79 description Leisure Walmart
336 65 033851819979 70.63 description Leisure Nike
337 7 033420693043 46.06 description Other Walgreens
338 52 651425313134 62.93 description Dining UberEats
339 89 446824169843 66.86 description Other WholeFoods
340 24 564827407900 75.63 description Transportation Uber
341 77 025732937525 11.37 description Dining DoorDash
342 84 119877821508 90.12 description Other HomeDepot
343 5 682141544982 81.49 description Leisure Walmart
344 2 601696147297 164.18 description Dining Seamless
345 87 830014805969 49.36 description Transportation MTA
346 9 242973238702 188.15 description Rent RadPad
347 38 644683293462 32.31 description Other HomeDepot
348 3 654288708432 125.75 description Other Walgreens
349 77 850628682892 118.51 description Dining DoorDash
350 62 875531615833 158.74 description Transportation Uber
351 9 490021416178 145.11 description Other CVS
352 17 824751246155 111.13 description Leisure Nike
353 36 477678518490 62.19 description Rent RadPad
354 30 266765931238 7.09 description Dining DoorDash
355 0 013100447537 155.14 description Leisure Amazon
356 26 002092076299 178.97 description Rent RadPad
357 65 172527535799 163.09 description Dining UberEats
358 96 162086621642 131.91 description Dining GrubHub
359 11 207624503287 88.16 description Other WholeFoods
360 24 706349898360 182.34 description Transportation NYCTLC
361 81 974461124379 59.83 description Transportation Lyft
362 28 260744959766 75.48 description Rent Cozy
363 2 227779298799 184.83 description Leisure Walmart
364 44 706790514536 135.58 description Other Walgreens
365 76 423349496631 64.88 description Rent RadPad
366 74 245327050008 103.93 description Dining GrubHub
367 12 843817763782 46.26 description Leisure Target
368 17 316574116090 8.34 description Rent ClickPay
369 9 146500447281 110.98 description Leisure Walmart
370 75 047521246280 3.44 description Transportation MTA
371 8 976510131905 83.32 description Rent Cozy
372 46 295180997472 83.72 description Transportation Uber
373 38 458426771709 142.11 description Transportation NYCTLC
374 33 470526742694 163.41 description Rent Cozy
375 35 645637648074 129.22 description Rent ClickPay
376 14 649487023883 139.99 description Transportation Lyft
377 94 715799753876 65.93 description Other HomeDepot
378 85 940312321888 187.29 description Leisure Rakuten
379 28 809949297228 88.86 description Rent ClickPay
380 18 843791045660 125.0 description Rent ClickPay
381 19 772114381788 59.08 description Transportation Uber
382 68 290163693865 123.62 description Other Costco
383 84 157552838431 148.12 description Other TraderJoes
384 66 602942966851 86.05 description Rent PayLease
385 61 869722471474 113.63 description Transportation MTA
386 65 696287233504 178.35 description Dining GrubHub
387 19 261591441657 73.1 description Dining DoorDash
388 67 151559934234 71.93 description Other WholeFoods
389 82 174642479404 35.9 description Other Costco
390 76 032075047165 199.3 description Other TraderJoes
391 70 704352530134 20.53 description Dining GrubHub
392 73 804991186353 134.56 description Transportation Uber
393 48 089444182600 168.32 description Rent Cozy
394 32 056315880556 33.01 description Transportation MTA
395 88 715598950987 53.54 description Leisure Ebay
396 50 869803237500 62.81 description Dining Seamless
397 23 729674759977 145.52 description Other Costco
398 15 242594605621 102.96 description Dining GrubHub
399 51 980288491564 183.22 description Rent ClickPay
400 57 312589576403 62.87 description Transportation Lyft
401 44 243275658053 27.86 description Rent Cozy
402 60 895627449907 137.1 description Rent ClickPay
403 99 861511561610 32.18 description Rent Cozy
404 55 870714723053 36.15 description Dining UberEats
405 33 082579074786 130.7 description Leisure Microsoft
406 15 379334942553 23.61 description Other Walgreens
407 1 172656586755 135.73 description Dining UberEats
408 20 839424921015 39.65 description Rent RadPad
409 79 747864202538 27.2 description Rent ClickPay
410 80 309099577597 102.15 description Leisure Apple
411 49 800088110921 158.41 description Leisure Target
412 90 602576729409 94.66 description Other TraderJoes
413 2 242742614488 186.84 description Transportation Uber
414 74 747003060447 185.59 description Leisure Walmart
415 19 013770038893 167.47 description Leisure Alibaba
416 73 930983318817 174.01 description Dining UberEats
417 98 488569286403 90.63 description Dining UberEats
418 73 296304569618 90.04 description Transportation Lyft
419 60 125674685341 81.02 description Dining DoorDash
420 61 247282267438 33.39 description Transportation MTA
421 11 812249006028 14.75 description Rent Cozy
422 75 761901576350 109.34 description Transportation MTA
423 35 684147623180 117.59 description Other Walgreens
424 37 482800731231 171.82 description Dining Seamless
425 69 180339756518 73.37 description Rent Cozy
426 15 050238661927 70.67 description Transportation MTA
427 98 717636879611 152.98 description Dining Seamless
428 56 724114773754 154.33 description Transportation Lyft
429 12 638540356618 3.47 description Other TraderJoes
430 7 583814361882 94.56 description Leisure BestBuy
431 7 620646280759 121.76 description Other TraderJoes
432 89 107172111681 165.42 description Dining DoorDash
433 54 912202915044 44.5 description Rent PayLease
434 56 669276307125 130.97 description Transportation NYCTLC
435 82 442043285894 176.39 description Leisure Amazon
436 1 518509421553 51.02 description Other Walgreens
437 4 521777523354 96.17 description Leisure Amazon
438 85 958731275534 57.03 description Other Walgreens
439 56 029681476540 17.6 description Dining UberEats
440 57 739508677096 38.25 description Rent ClickPay
441 97 937865450095 123.44 description Transportation Uber
442 74 489083259210 34.58 description Leisure Rakuten
443 69 883403091376 93.87 description Transportation MTA
444 29 550036298514 45.69 description Transportation NYCTLC
445 66 690428270103 6.52 description Rent Cozy
446 1 560121412367 174.55 description Leisure Apple
447 19 011465873608 111.67 description Leisure BestBuy
448 72 321321872733 116.61 description Dining Seamless
449 77 396066916179 79.99 description Transportation NYCTLC
450 61 798367129732 177.75 description Leisure Apple
451 85 896929613340 6.75 description Transportation MTA
452 20 872728512394 119.42 description Other Walgreens
453 77 434506768700 193.74 description Transportation MTA
454 67 877680093894 58.93 description Dining Seamless
455 61 783985974973 196.85 description Leisure Microsoft
456 10 206327989799 119.3 description Transportation MTA
457 90 280504872512 152.85 description Dining DoorDash
458 34 255259168376 51.75 description Leisure Microsoft
459 2 942179723842 24.83 description Other TraderJoes
460 3 040435578411 23.17 description Dining DoorDash
461 60 073144517239 9.31 description Leisure Nike
462 97 246405593152 58.92 description Dining UberEats
463 99 644324951401 193.93 description Rent PayLease
464 52 156662101643 89.86 description Dining DoorDash
465 14 355852086836 28.57 description Other Costco
466 45 736992100731 185.5 description Leisure Amazon
467 91 474440741174 3.57 description Dining GrubHub
468 50 479756949959 25.95 description Dining GrubHub
469 90 467547029618 53.07 description Dining UberEats
470 74 436278890834 14.08 description Transportation MTA
471 44 253780763628 114.7 description Leisure Apple
472 96 009464500885 119.46 description Rent PayLease
473 4 388081369262 71.76 description Dining UberEats
474 39 054513493172 107.04 description Other CVS
475 34 223040663182 44.69 description Transportation NYCTLC
476 45 861213797553 183.39 description Other Walgreens
477 17 826294053520 32.68 description Rent Cozy
478 51 855512908685 192.13 description Transportation NYCTLC
479 79 153035534495 41.93 description Rent Cozy
480 49 276638921279 49.78 description Transportation Lyft
481 62 950670149613 159.19 description Transportation Uber
482 62 281775572011 184.65 description Rent ClickPay
483 59 241508292141 195.42 description Leisure Target
484 51 832890760747 32.33 description Transportation NYCTLC
485 66 529119303346 197.16 description Dining GrubHub
486 20 177747204727 56.71 description Transportation Lyft
487 41 655107971046 199.64 description Transportation Lyft
488 30 437188935003 192.02 description Leisure Nike
489 78 073024398772 157.11 description Transportation MTA
490 73 201162873359 98.81 description Transportation Lyft
491 84 283441049750 163.62 description Rent PayLease
492 58 829114337515 48.85 description Transportation Lyft
493 15 372154667168 72.6 description Rent ClickPay
494 61 117854220089 76.75 description Other TraderJoes
495 84 376150763330 173.93 description Transportation Uber
496 81 353730224711 71.49 description Leisure Amazon
497 12 978038607563 99.57 description Transportation Uber
498 13 078396641025 46.25 description Dining Seamless
499 42 285308697489 75.65 description Rent Cozy
500 59 712212345644 178.97 description Transportation Uber
501 99 283590872434 141.5 description Leisure Alibaba
502 79 908707831754 136.62 description Dining UberEats
503 67 416725668310 192.39 description Transportation Lyft
504 79 144289675661 30.88 description Rent Cozy
505 78 252858192760 71.16 description Rent RadPad
506 7 285490722207 180.66 description Transportation Uber
507 0 766661430303 127.18 description Other TraderJoes
508 78 454559177590 166.97 description Other HomeDepot
509 49 154445376012 53.74 description Dining GrubHub
510 92 419544653595 157.73 description Other CVS
511 0 905490198754 35.3 description Other HomeDepot
512 75 634243115119 11.82 description Leisure Ebay
513 56 760665540276 150.71 description Dining DoorDash
514 29 150881490320 182.39 description Transportation NYCTLC
515 23 651442707487 189.02 description Dining DoorDash
516 22 857066156692 86.84 description Other HomeDepot
517 54 297521826181 144.46 description Other WholeFoods
518 76 659984959614 134.45 description Transportation NYCTLC
519 34 923004742896 177.06 description Dining UberEats
520 55 067910137793 165.91 description Transportation Lyft
521 22 066086933452 44.12 description Leisure Target
522 13 862000945240 51.47 description Leisure Microsoft
523 75 998211423538 13.86 description Rent Cozy
524 13 443525692809 170.77 description Dining Seamless
525 83 947673547926 30.05 description Other CVS
526 63 634356049213 127.5 description Leisure Walmart
527 60 238627094507 200.76 description Other CVS
528 40 017373952233 6.43 description Dining DoorDash
529 95 366834050739 114.65 description Leisure Apple
530 29 674879027484 13.57 description Leisure Alibaba
531 12 637691746180 16.18 description Dining GrubHub
532 18 173580106802 146.68 description Other WholeFoods
533 58 878818341806 53.58 description Rent ClickPay
534 55 165499140722 132.75 description Other CVS
535 77 193136467294 46.94 description Leisure Nike
536 19 479498974251 61.14 description Leisure Amazon
537 91 505756523574 198.69 description Transportation Lyft
538 41 740489868410 118.07 description Rent PayLease
539 83 076332860279 81.25 description Dining Seamless
540 87 920572187910 68.68 description Transportation Lyft
541 81 061169641533 143.38 description Rent PayLease
542 43 334468678246 73.37 description Leisure Rakuten
543 16 677065792092 56.56 description Other TraderJoes
544 12 039818638837 180.96 description Other HomeDepot
545 12 985186627071 152.82 description Other Walgreens
546 77 105285077744 112.63 description Leisure Alibaba
547 97 976026664464 59.88 description Transportation NYCTLC
548 39 441257331435 3.33 description Leisure Microsoft
549 30 444056088061 111.56 description Leisure Alibaba
550 72 214012173842 111.62 description Rent ClickPay
551 0 779893039947 21.31 description Transportation Lyft
552 69 045242461255 113.72 description Transportation NYCTLC
553 57 657047939544 182.53 description Transportation Lyft
554 26 507451985437 158.86 description Leisure BestBuy
555 13 489492952354 181.16 description Transportation Lyft
556 43 418825235497 64.15 description Dining GrubHub
557 86 016328447653 24.64 description Rent Cozy
558 91 762163956002 68.32 description Leisure Amazon
559 87 333298429481 34.4 description Other WholeFoods
560 9 686639239715 143.52 description Dining GrubHub
561 63 164688288676 198.23 description Transportation MTA
562 42 532654730922 199.37 description Other CVS
563 62 671550540721 37.7 description Other CVS
564 15 169738138084 175.03 description Other Costco
565 89 243180378133 178.0 description Leisure Amazon
566 63 270177542319 144.46 description Dining GrubHub
567 27 409208653498 10.1 description Rent ClickPay
568 59 691171128355 178.83 description Other Costco
569 34 151913071959 7.18 description Leisure Target
570 33 119338976231 38.25 description Rent Cozy
571 67 324387995176 23.19 description Other HomeDepot
572 76 250431714065 151.96 description Transportation MTA
573 54 743860223369 34.13 description Rent PayLease
574 95 097734233114 42.98 description Leisure Walmart
575 45 850779047350 7.18 description Dining UberEats
576 51 834094697757 117.63 description Leisure Amazon
577 48 558313801414 175.42 description Other HomeDepot
578 70 462367973097 187.99 description Transportation MTA
579 81 250672547534 76.95 description Rent RadPad
580 68 304740539650 64.62 description Rent Cozy
581 66 081057188263 182.13 description Other Costco
582 85 104273014177 87.43 description Dining GrubHub
583 2 944381320611 109.64 description Other CVS
584 95 339842086030 34.51 description Leisure Microsoft
585 62 343873075576 177.52 description Transportation MTA
586 15 119632490627 127.07 description Other Costco
587 82 261653246163 103.76 description Rent Cozy
588 65 939829100964 166.73 description Transportation NYCTLC
589 57 234346123838 70.03 description Dining DoorDash
590 39 875578234761 135.95 description Dining GrubHub
591 21 920514086369 170.27 description Leisure Nike
592 15 564998400708 35.5 description Dining UberEats
593 48 840030514533 81.52 description Dining DoorDash
594 92 376249702087 157.88 description Leisure Microsoft
595 58 793117175007 18.5 description Dining GrubHub
596 31 902030547600 60.77 description Transportation NYCTLC
597 68 375956435903 185.47 description Other TraderJoes
598 78 306625865165 140.53 description Transportation Uber
599 16 198391037886 28.12 description Leisure Apple
600 60 725210919124 118.25 description Dining UberEats
601 99 133384047416 168.19 description Dining Seamless
602 83 803218902498 35.47 description Transportation Lyft
603 62 076395319598 22.63 description Rent PayLease
604 67 184656107948 91.6 description Dining Seamless
605 61 482562687964 166.26 description Dining DoorDash
606 81 677247428861 37.33 description Other Costco
607 58 902907943306 139.34 description Rent PayLease
608 53 055635038606 161.05 description Rent RadPad
609 11 333856586354 76.81 description Other Costco
610 82 294386501478 153.22 description Leisure Ebay
611 6 824798312749 108.8 description Other WholeFoods
612 91 388296352785 140.66 description Dining Seamless
613 18 132738738818 129.1 description Leisure Ebay
614 9 390788120754 21.83 description Dining DoorDash
615 3 281722284685 78.0 description Dining DoorDash
616 44 028697330616 153.54 description Dining Seamless
617 6 665223542294 84.27 description Other Costco
618 80 945052931371 171.96 description Rent RadPad
619 96 406944058997 184.59 description Leisure Microsoft
